Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2016-03-30,58.51415,59.304237365722656,59.99045181274414,61.82394790649414,60.427162170410156,61.105918884277344,61.45136260986328,60.95931625366211,61.214134216308594,58.41918182373047,66.153,57.173
2016-03-31,61.402225,60.76112747192383,61.302677154541016,63.65254592895508,61.676700592041016,61.527198791503906,62.546600341796875,63.13627624511719,63.14376449584961,60.52134323120117,66.979,57.4
2016-04-01,63.321854,62.35248565673828,62.82774353027344,64.79715728759766,62.83646774291992,62.32840347290039,63.876705169677734,64.75048828125,64.70120239257812,61.71940994262695,67.611,57.609
2016-04-02,64.05576,62.9268684387207,62.72727584838867,64.32783508300781,63.24755859375,62.9474983215332,63.69686508178711,64.744384765625,65.32600402832031,61.591346740722656,68.116,57.666
2016-04-03,63.623203,63.389015197753906,62.931373596191406,64.2002944946289,63.49580001831055,63.226524353027344,63.903778076171875,64.5129623413086,65.12796020507812,61.93748092651367,68.571,57.591
2016-04-04,65.35663,63.864505767822266,63.47114562988281,64.85420989990234,63.19047927856445,65.4649887084961,64.17293548583984,65.54671478271484,66.86958312988281,61.59790802001953,69.032,57.772
2016-04-05,65.7377,64.5500259399414,63.95596694946289,65.77613830566406,63.24196243286133,65.21989440917969,65.03021240234375,66.06438446044922,67.15165710449219,62.56996154785156,69.503,58.175
2016-04-06,64.71251,64.80847930908203,65.46514892578125,66.26099395751953,64.75326538085938,65.73002624511719,66.3449478149414,66.806396484375,68.53899383544922,63.274349212646484,69.924,58.534
2016-04-07,65.42901,65.16922760009766,66.09417724609375,67.6362075805664,67.07036590576172,64.64632415771484,67.06861114501953,66.41802978515625,68.36669921875,64.9586181640625,70.219,58.837
2016-04-08,65.861855,65.00151062011719,65.98846435546875,66.52737426757812,68.1176528930664,66.49105072021484,65.92684173583984,65.08745574951172,68.21224212646484,66.11112213134766,70.351,59.058
2016-04-09,66.68473,65.3548355102539,65.67271423339844,68.43513488769531,66.20172119140625,66.9903335571289,65.97055053710938,64.49691772460938,67.76964569091797,66.40973663330078,70.353,59.236
2016-04-10,65.99866,65.15133666992188,65.9438705444336,68.41104125976562,64.79593658447266,67.56733703613281,65.41544342041016,63.9475212097168,67.77999114990234,66.42556762695312,70.286,59.408
2016-04-11,66.13188,65.07354736328125,64.90613555908203,69.39468383789062,65.02802276611328,68.04710388183594,65.08135986328125,63.932037353515625,67.814208984375,66.06007385253906,70.167,59.556
2016-04-12,66.17234,64.0285873413086,64.54423522949219,67.60669708251953,63.82991027832031,66.84519958496094,64.43293762207031,63.25337600708008,67.19291687011719,65.56282806396484,70.017,59.61
2016-04-13,65.84779,62.7021369934082,63.82331466674805,67.1901626586914,63.15573501586914,65.25926208496094,64.22667694091797,62.82529830932617,66.8822250366211,64.50325012207031,69.862,59.719
2016-04-14,64.1155,61.7533073425293,63.09746170043945,65.42118835449219,61.36265182495117,64.24861145019531,63.44390106201172,62.2252311706543,65.60945129394531,63.57639694213867,69.657,59.938
2016-04-15,63.64747,62.13346862792969,63.08556365966797,65.4481201171875,62.153236389160156,63.73769760131836,63.43632125854492,62.37748336791992,65.05240631103516,62.87874984741211,69.339,60.143
2016-04-16,63.03144,62.12251663208008,63.53822708129883,64.58588409423828,61.889747619628906,63.37849044799805,63.59223556518555,62.92164611816406,64.88224792480469,62.07529830932617,68.887,60.326
2016-04-17,62.714405,61.83190155029297,62.756839752197266,63.30408477783203,61.28358459472656,62.304630279541016,62.89457702636719,62.89905548095703,63.770782470703125,60.634944915771484,68.389,60.356
2016-04-18,61.082066,61.09329605102539,61.85836410522461,61.94962692260742,60.480384826660156,61.694305419921875,62.12112808227539,62.139041900634766,62.47828674316406,60.1406364440918,67.986,60.173
2016-04-19,61.136406,60.63434600830078,61.08940887451172,61.9995002746582,60.607994079589844,60.54138946533203,62.3330078125,61.76451873779297,62.1573486328125,60.09223175048828,67.781,59.973
2016-04-20,60.56823,60.68056106567383,61.42499923706055,60.794036865234375,60.22696304321289,60.17994689941406,62.51531982421875,61.99370193481445,62.05095672607422,60.42970275878906,67.798,59.899
2016-04-21,61.473465,61.26624298095703,61.474090576171875,61.5582275390625,60.650386810302734,60.70907211303711,62.965206146240234,62.103599548339844,61.643165588378906,60.44669723510742,67.961,59.907
2016-04-22,61.588284,61.4323616027832,62.534278869628906,61.98178482055664,60.5098876953125,61.4581413269043,62.65282440185547,61.982444763183594,61.65052795410156,61.079097747802734,68.19,59.948
2016-04-23,61.369694,61.42637634277344,62.08563232421875,62.48066711425781,60.22848892211914,61.259429931640625,62.580631256103516,61.833614349365234,61.35502243041992,61.05082321166992,68.446,60.001
2016-04-24,60.829437,61.70988464355469,61.90379333496094,62.62841033935547,60.01812744140625,60.503662109375,62.11585235595703,61.324771881103516,61.130821228027344,61.28411865234375,68.755,60.01
