Y,M,D,h,m,s,Hs,Tp,Dir
1979,1,15,9,0,0,0.705,9.08,58.207
1979,1,15,12,0,0,0.701,8.994,58.4
1979,1,15,15,0,0,0.697,8.919,58.475
1979,1,15,18,0,0,0.773,8.842,58.496
1979,1,15,21,0,0,0.734,8.769,58.526
1979,1,16,0,0,0,0.815,8.681,58.425
1979,1,16,3,0,0,0.78,8.684,58.535
1979,1,16,6,0,0,0.774,8.646,58.493
1979,1,16,9,0,0,0.74,8.652,58.43
1979,1,16,12,0,0,0.695,8.714,58.453
1979,1,16,15,0,0,0.676,8.887,58.53
1979,1,16,18,0,0,0.674,9.039,58.702
1979,1,16,21,0,0,0.649,9.147,58.883
1979,1,17,0,0,0,0.626,9.063,59.025
1979,1,17,3,0,0,0.614,8.814,59.165
1979,1,17,6,0,0,0.611,8.553,59.16
1979,1,17,9,0,0,0.64,8.361,59.292
1979,1,17,12,0,0,0.729,8.298,58.981
1979,1,17,15,0,0,0.98,6.259,62.722
1979,1,17,18,0,0,1.226,6.571,65.116
1979,1,17,21,0,0,1.295,7.169,65.168
1979,1,18,0,0,0,1.186,7.43,66.757
1979,1,18,3,0,0,1.036,7.473,67.297
1979,1,18,6,0,0,0.926,7.447,66.277
1979,1,18,9,0,0,0.864,7.392,63.455
1979,1,18,12,0,0,0.86,8.028,59.808
1979,1,18,15,0,0,0.888,8.126,57.194
1979,1,18,18,0,0,0.948,10.676,54.556
1979,1,18,21,0,0,1.03,10.213,52.144
1979,1,19,0,0,0,1.119,10.138,50.481
1979,1,19,3,0,0,1.191,10.148,49.449
1979,1,19,6,0,0,1.243,10.155,48.851
1979,1,19,9,0,0,1.27,10.125,48.514
1979,1,19,12,0,0,1.276,9.98,48.361
1979,1,19,15,0,0,1.267,9.792,48.192
1979,1,19,18,0,0,1.246,9.619,48.151
1979,1,19,21,0,0,1.223,9.454,48.207
1979,1,20,0,0,0,1.201,9.283,48.335
1979,1,20,3,0,0,1.183,9.096,47.755
1979,1,20,6,0,0,1.166,8.967,47.468
1979,1,20,9,0,0,1.144,8.864,47.548
1979,1,20,12,0,0,1.123,8.762,47.864
1979,1,20,15,0,0,1.115,8.645,48.543
1979,1,20,18,0,0,1.111,8.456,48.002
1979,1,20,21,0,0,1.098,8.326,48.395
1979,1,21,0,0,0,1.068,8.479,49.24
1979,1,21,3,0,0,1.024,10.19,55.82
1979,1,21,6,0,0,0.986,10.198,55.834
1979,1,21,9,0,0,0.954,10.177,55.755
1979,1,21,12,0,0,0.957,10.148,55.54
1979,1,21,15,0,0,0.99,10.137,55.246
1979,1,21,18,0,0,0.987,10.147,54.911
1979,1,21,21,0,0,0.934,10.145,54.629
1979,1,22,0,0,0,0.87,10.135,54.242
1979,1,22,3,0,0,0.814,10.115,53.808
1979,1,22,6,0,0,0.763,10.073,55.648
1979,1,22,9,0,0,0.723,10.013,55.314
1979,1,22,12,0,0,0.686,9.965,54.934
1979,1,22,15,0,0,0.648,9.905,54.64
1979,1,22,18,0,0,0.614,9.882,54.36
1979,1,22,21,0,0,0.584,9.848,54.173
1979,1,23,0,0,0,0.552,9.83,54.038
1979,1,23,3,0,0,0.522,9.823,53.926
1979,1,23,6,0,0,0.499,9.83,53.84
1979,1,23,9,0,0,0.483,9.83,53.854
1979,1,23,12,0,0,0.471,9.825,53.885
1979,1,23,15,0,0,0.464,9.894,53.817
1979,1,23,18,0,0,0.455,9.957,53.698
1979,1,23,21,0,0,0.443,10.04,53.533
1979,1,24,0,0,0,0.437,10.171,51.938
1979,1,24,3,0,0,0.457,10.281,51.891
1979,1,24,6,0,0,0.474,10.31,51.97
1979,1,24,9,0,0,0.623,10.38,51.931
1979,1,24,12,0,0,0.702,10.37,51.974
1979,1,24,15,0,0,0.674,10.42,52.102
1979,1,24,18,0,0,0.683,10.45,52.301
1979,1,24,21,0,0,0.7,10.482,52.711
