Datetime,Hs,Tp,Wvx,Wvy,yout
1999-01-08,0.5565,12.965625,12.898386333757532,15.428128609761671,60.126
1999-01-09,0.481375,9.498875,7.120210604391418,12.991844401780654,60.51185714285714
1999-01-10,0.75975,8.594,6.069785919972384,11.928320182518465,60.056428571428576
1999-01-11,0.85575,10.22325,7.617305781856347,14.005734474154032,59.58228571428572
1999-01-12,1.0965,8.587125,6.436866314690301,11.744080941948187,59.036142857142856
1999-01-13,1.2075,8.591875,6.58051791718318,11.672727661447992,58.56128571428572
1999-01-14,1.289,9.760875,7.288575714883091,13.365915554774473,58.36985714285715
1999-01-15,1.136875,9.32475,6.693008008862606,12.912208858101778,58.33671428571429
1999-01-16,1.0458749999999999,9.024750000000001,7.051881504207209,12.178971017481462,58.17928571428571
1999-01-17,1.1075,8.74975,7.350258659289878,11.498564117488565,57.94242857142857
1999-01-18,0.997,8.40825,7.186848980944925,10.969418304662012,57.64
1999-01-19,0.94625,8.26225,7.504398276536188,10.474642624569624,57.40128571428572
1999-01-20,1.04925,10.142,10.982108570088942,11.370305168413276,57.012857142857136
1999-01-21,1.05625,9.153,9.959140617713958,10.228055831677437,56.44685714285714
1999-01-22,1.248875,8.862125,9.163495360717237,10.31903760864308,55.83242857142857
1999-01-23,1.389125,8.46925,6.684031448928694,11.341860223032239,55.42328571428571
1999-01-24,1.42825,9.591625,7.651098649226235,12.810036658545869,55.16857142857143
1999-01-25,1.49725,10.794625,7.5624042803978835,15.02400297375106,55.109857142857145
1999-01-26,0.951125,10.942124999999999,7.783364481988916,15.040414107128662,55.18914285714285
1999-01-27,0.8402499999999999,9.27975,9.42599316933627,10.983126220286064,55.28185714285714
1999-01-28,0.921,8.926125,8.702428153500854,10.866580338318009,55.380714285714284
1999-01-29,0.902875,7.52775,6.509254156075602,9.721694654592135,55.479571428571425
1999-01-30,1.529375,6.838,4.466588591254404,9.677201501989302,55.578428571428574
1999-01-31,1.50525,8.01625,6.633912523592452,10.58449707471539,55.67728571428571
1999-02-01,0.901375,8.56525,7.713504037681029,10.90056485742082,55.77614285714286
1999-02-02,0.641875,10.337125,9.480575079755058,13.032341291614488,55.87500000000001
1999-02-03,0.872625,12.69425,12.135448134670659,15.644261093284232,55.96785714285714
1999-02-04,1.089375,9.839125,8.308083000846322,12.902769868253436,56.05442857142857
1999-02-05,1.0735,10.808625,9.481789811194092,13.93784256893167,56.141000000000005
1999-02-06,0.999,11.2095,9.900772920487166,14.410107276444483,56.22757142857143
1999-02-07,1.29075,10.537125,9.031216127405319,13.730631472162164,56.26428571428571
1999-02-08,1.70575,10.704,8.625909345775508,14.292655720598924,56.12057142857143
1999-02-09,1.556625,10.7125,8.337552591140344,14.47957685287633,55.956
1999-02-10,1.390625,10.09775,7.91464413617387,13.616178733777886,55.79200000000001
1999-02-11,1.650875,8.86225,6.789202392159397,12.040248798529953,55.719571428571435
1999-02-12,1.5985,9.242875,7.138283947526527,12.523766063440291,55.740571428571435
1999-02-13,1.284,9.617125,7.947114238022161,12.719611775513537,55.87771428571428
1999-02-14,1.167875,9.641125,8.667523585290496,12.285633735816692,56.15157142857144
1999-02-15,1.05975,10.01325,9.57234282503447,12.338580648132178,56.059000000000005
1999-02-16,1.025625,10.222,10.257638154158037,12.204752194952265,56.006428571428565
1999-02-17,1.04725,9.794875,10.018151122155347,11.533568288550413,56.40328571428571
1999-02-18,1.216,9.6285,9.308627588883038,11.780495620829054,56.24557142857143
1999-02-19,1.435375,10.3225,8.847396811722037,13.443336599567154,56.076
1999-02-20,1.492,11.531375,8.31508098467141,15.936649836761609,55.89957142857143
1999-02-21,1.404375,12.834875,8.069290265356283,18.31988269359904,55.745285714285714
1999-02-22,0.967,11.9855,7.856105121969611,16.962748421727017,56.307857142857145
1999-02-23,0.685125,10.740874999999999,8.002468657993212,14.713639783283488,57.021142857142856
1999-02-24,0.890125,8.88725,7.023027517798564,11.907167257497711,57.39357142857143
1999-02-25,0.855375,8.6285,7.530779649994282,11.057739132030113,58.33828571428571
1999-02-26,1.210625,5.503875,6.6689602020802585,5.398987718039168,59.27828571428571
1999-02-27,1.36375,7.44225,9.107760944439505,7.181887959828815,60.050714285714285
1999-02-28,0.6935,7.8845,8.478423429628423,8.744350414125414,60.254714285714286
1999-03-01,0.514625,10.040125,7.3619161158133135,13.81722593995951,59.725857142857144
1999-03-02,0.5505,10.254,8.334633534872697,13.648868703048064,59.019999999999996
1999-03-03,0.807125,10.437375,8.378353859531913,13.956937144518331,58.288428571428575
1999-03-04,1.11375,11.2475,8.553578129540941,15.31094593829808,57.34542857142857
1999-03-05,1.59925,8.611125,6.35680907371666,11.827921304426908,56.589999999999996
1999-03-06,1.666125,8.821625000000001,6.715526350560358,11.979318399688774,56.014857142857146
1999-03-07,1.259,8.673625,6.619984013590074,11.797889628058474,55.68414285714285
1999-03-08,1.24375,10.114125,7.171487180578183,14.047012300267047,55.67771428571429
1999-03-09,1.359875,11.5805,7.301516094260956,16.520403541350422,55.82585714285715
1999-03-10,1.5635,12.84575,8.138867895834201,18.30622786645003,56.027857142857144
1999-03-11,1.43725,12.039,7.281102074826865,17.308162197655168,56.46942857142857
1999-03-12,1.271625,10.1585,7.958233287028617,13.600813619224995,56.78385714285714
1999-03-13,1.019125,10.73425,7.310608941331043,14.994928641821794,56.99957142857143
1999-03-14,0.698625,10.702875,7.28107000999064,15.019849165849017,57.02657142857144
1999-03-15,0.56175,10.1545,7.593711755541195,13.898728215927138,57.411
1999-03-16,0.536375,9.657375,7.254745622742167,13.20057979411752,57.818714285714286
1999-03-17,0.60375,10.369125,8.013006613009432,14.041075069169628,58.21999999999999
1999-03-18,0.8175,11.308875,9.474720503921573,14.877886792797604,58.582857142857144
1999-03-19,0.93775,11.132875,9.27480347769615,14.6791730154761,58.70100000000001
1999-03-20,0.743375,10.187625,8.139419696168229,13.64557914234434,58.685
1999-03-21,0.684875,9.684000000000001,7.390416262081746,13.172652003929652,59.00842857142857
1999-03-22,0.558125,9.20325,6.8608456750449704,12.608052072574713,59.127
1999-03-23,0.834125,6.5895,6.556680056963097,7.598980795157423,59.03971428571429
1999-03-24,0.8684999999999999,7.638,7.710991933694267,8.912765318163908,58.845000000000006
1999-03-25,1.01325,8.344625,7.297550351873655,10.772040911469354,58.581714285714284
1999-03-26,1.329,8.41175,7.090057945609384,11.029780933057282,58.40871428571428
1999-03-27,1.3635,9.587875,7.376016190431045,13.007624024814548,58.28257142857143
1999-03-28,1.36925,9.483875,7.229169859236615,12.904423143694178,58.154857142857146
1999-03-29,1.407,8.893,7.133670052014862,11.895068704146315,58.26342857142857
1999-03-30,1.232125,8.973375,7.621648132173553,11.738326960752207,58.54757142857143
1999-03-31,1.1055,9.55,7.851022784561462,12.657049968982797,58.531
1999-04-01,1.08,10.352125000000001,8.453432785991463,13.756241671595198,58.758
1999-04-02,0.964375,10.373875,8.047876338611882,14.036241246702774,58.91957142857143
1999-04-03,0.725125,9.855375,7.525832072447383,13.402950323205985,58.76914285714285
1999-04-04,0.56675,9.36075,7.582162040130266,12.475029870388175,58.715714285714284
1999-04-05,0.93275,7.4556249999999995,5.739861981410012,10.08984856496803,58.54342857142857
1999-04-06,1.8951250000000002,7.5055000000000005,5.977120029801733,10.019902579136444,58.26199999999999
1999-04-07,1.9955,9.483,9.603122031839533,11.24387736239753,58.311
1999-04-08,1.803125,9.684625,9.135359083137502,12.02702788323048,58.13928571428572
1999-04-09,1.759125,10.103875,9.828088229400958,12.317491970733872,58.10671428571429
1999-04-10,1.42975,9.917625000000001,8.883734455323824,12.656767587976255,58.547714285714285
1999-04-11,1.10375,10.000875,6.872880606116976,13.993139898596148,59.054857142857145
1999-04-12,0.961125,10.5165,6.741001235775196,14.953462076152569,59.61871428571429
1999-04-13,0.9293750000000001,11.1375,6.836391347102453,15.969277458452336,60.086571428571425
1999-04-14,0.8146249999999999,10.733875,6.838464810817154,15.279375768098712,60.57657142857143
1999-04-15,0.792625,6.936875000000001,6.510857984037205,8.484211086542988,61.210857142857144
1999-04-16,0.7355,7.88225,8.804301205853038,8.334624998290973,62.097142857142856
1999-04-17,0.864875,9.601125,11.512215255440807,9.488589094472676,62.251
1999-04-18,0.280375,11.37875,10.267457923205574,14.451625888722013,62.27914285714286
1999-04-19,0.43075,11.45975,9.49033122189138,15.144905163101145,62.20114285714286
1999-04-20,0.5175000000000001,11.382375,9.700488903059309,14.867962635078259,62.172000000000004
1999-04-21,0.55625,11.230125000000001,9.415928577190371,14.768250236097181,61.637142857142855
1999-04-22,0.591375,10.713875,9.364259624649936,13.839882473853534,60.578714285714284
1999-04-23,0.73675,10.11125,8.840186230116982,13.053194263379552,59.065714285714286
1999-04-24,1.459125,7.686375,6.540049031372117,10.041098187601438,58.235571428571426
1999-04-25,1.90775,11.8465,8.550154405834606,16.368208526261025,57.58028571428571
