Datetime,SPADS
2015-03-11,62.851
2015-03-12,61.82
2015-03-13,60.741
2015-03-14,59.778
2015-03-15,59.121
2015-03-16,58.914
2015-03-17,59.247
2015-03-18,60.028
2015-03-19,61.06
2015-03-20,62.148
2015-03-21,63.058
2015-03-22,63.629
2015-03-23,63.899
2015-03-24,63.951
2015-03-25,63.894
2015-03-26,63.907
2015-03-27,64.17
2015-03-28,64.784
2015-03-29,65.679
2015-03-30,66.665
2015-03-31,67.614
2015-04-01,68.425
2015-04-02,68.994
2015-04-03,69.305
2015-04-04,69.404
2015-04-05,69.35
2015-04-06,69.179
2015-04-07,68.935
2015-04-08,68.612
2015-04-09,68.213
2015-04-10,67.79
2015-04-11,67.405
2015-04-12,67.153
2015-04-13,67.086
2015-04-14,67.121
2015-04-15,67.149
2015-04-16,67.049
2015-04-17,66.689
2015-04-18,66.036
2015-04-19,65.175
2015-04-20,64.199
2015-04-21,63.141
2015-04-22,62.005
2015-04-23,60.858
2015-04-24,59.867
2015-04-25,59.242
2015-04-26,59.173
2015-04-27,59.792
2015-04-28,61.059
2015-04-29,62.689
2015-04-30,64.326
2015-05-01,65.667
2015-05-02,66.467
2015-05-03,66.63
2015-05-04,66.26
2015-05-05,65.576
2015-05-06,64.797
2015-05-07,64.065
2015-05-08,63.482
2015-05-09,63.123
2015-05-10,62.989
2015-05-11,63.004
2015-05-12,63.069
2015-05-13,63.114
2015-05-14,63.165
2015-05-15,63.322
2015-05-16,63.635
2015-05-17,64.075
2015-05-18,64.526
2015-05-19,64.908
2015-05-20,65.205
2015-05-21,65.373
2015-05-22,65.4
2015-05-23,65.342
2015-05-24,65.24
2015-05-25,65.15
2015-05-26,65.077
2015-05-27,64.932
2015-05-28,64.537
2015-05-29,63.77
2015-05-30,62.661
2015-05-31,61.385
2015-06-01,60.186
2015-06-02,59.32
2015-06-03,59.012
2015-06-04,59.229
2015-06-05,59.798
2015-06-06,60.544
2015-06-07,61.285
2015-06-08,61.916
2015-06-09,62.4
2015-06-10,62.716
2015-06-11,62.906
2015-06-12,63.026
2015-06-13,63.144
2015-06-14,63.231
2015-06-15,63.231
2015-06-16,63.093
2015-06-17,62.751
2015-06-18,62.177
2015-06-19,61.47
2015-06-20,60.812
2015-06-21,60.4
2015-06-22,60.365
2015-06-23,60.64
2015-06-24,61.082
2015-06-25,61.58
2015-06-26,62.091
2015-06-27,62.594
2015-06-28,63.03
2015-06-29,63.346
2015-06-30,63.476
2015-07-01,63.385
2015-07-02,63.062
2015-07-03,62.553
2015-07-04,61.981
2015-07-05,61.474
2015-07-06,61.123
2015-07-07,60.947
2015-07-08,60.909
2015-07-09,60.873
2015-07-10,60.745
2015-07-11,60.498
2015-07-12,60.09
2015-07-13,59.496
2015-07-14,58.849
2015-07-15,58.327
2015-07-16,58.07
2015-07-17,58.179
2015-07-18,58.632
2015-07-19,59.315
2015-07-20,60.071
2015-07-21,60.785
2015-07-22,61.391
2015-07-23,61.834
2015-07-24,62.074
2015-07-25,62.121
2015-07-26,62.047
2015-07-27,61.939
2015-07-28,61.862
2015-07-29,61.806
2015-07-30,61.666
2015-07-31,61.327
2015-08-01,60.697
2015-08-02,59.71
2015-08-03,58.366
2015-08-04,56.852
2015-08-05,55.456
2015-08-06,54.382
2015-08-07,53.769
2015-08-08,53.642
2015-08-09,53.882
2015-08-10,54.338
2015-08-11,54.864
2015-08-12,55.347
2015-08-13,55.775
2015-08-14,56.233
2015-08-15,56.754
2015-08-16,57.349
2015-08-17,58.062
2015-08-18,58.861
2015-08-19,59.684
2015-08-20,60.494
2015-08-21,61.211
2015-08-22,61.744
2015-08-23,61.983
2015-08-24,61.885
2015-08-25,61.551
2015-08-26,61.124
2015-08-27,60.642
2015-08-28,60.125
2015-08-29,59.634
2015-08-30,59.254
2015-08-31,59.076
2015-09-01,59.177
2015-09-02,59.552
2015-09-03,60.146
2015-09-04,60.842
2015-09-05,61.484
2015-09-06,61.933
2015-09-07,62.143
2015-09-08,62.173
2015-09-09,62.165
2015-09-10,62.245
2015-09-11,62.458
2015-09-12,62.796
2015-09-13,63.193
2015-09-14,63.518
2015-09-15,63.599
2015-09-16,63.409
2015-09-17,63.037
2015-09-18,62.564
2015-09-19,62.03
2015-09-20,61.464
2015-09-21,60.908
2015-09-22,60.385
2015-09-23,59.93
2015-09-24,59.629
2015-09-25,59.584
2015-09-26,59.834
2015-09-27,60.354
2015-09-28,61.097
2015-09-29,61.997
2015-09-30,63.009
2015-10-01,64.031
2015-10-02,64.938
2015-10-03,65.637
2015-10-04,66.101
2015-10-05,66.398
2015-10-06,66.586
2015-10-07,66.699
2015-10-08,66.732
2015-10-09,66.697
2015-10-10,66.633
2015-10-11,66.609
2015-10-12,66.673
2015-10-13,66.869
2015-10-14,67.184
2015-10-15,67.595
2015-10-16,68.07
2015-10-17,68.522
2015-10-18,68.819
2015-10-19,68.888
2015-10-20,68.756
2015-10-21,68.496
2015-10-22,68.143
2015-10-23,67.715
2015-10-24,67.213
2015-10-25,66.666
2015-10-26,66.109
2015-10-27,65.588
2015-10-28,65.138
2015-10-29,64.834
2015-10-30,64.711
2015-10-31,64.722
2015-11-01,64.819
2015-11-02,64.954
2015-11-03,65.067
2015-11-04,65.068
2015-11-05,64.905
2015-11-06,64.62
2015-11-07,64.27
2015-11-08,63.962
2015-11-09,63.853
2015-11-10,64.075
2015-11-11,64.627
2015-11-12,65.383
2015-11-13,66.21
2015-11-14,67.02
2015-11-15,67.715
2015-11-16,68.269
2015-11-17,68.689
2015-11-18,68.981
2015-11-19,69.146
2015-11-20,69.224
2015-11-21,69.258
2015-11-22,69.219
2015-11-23,69.044
2015-11-24,68.681
2015-11-25,68.1
2015-11-26,67.284
2015-11-27,66.303
2015-11-28,65.217
2015-11-29,64.095
2015-11-30,63.036
2015-12-01,62.129
2015-12-02,61.473
2015-12-03,61.213
2015-12-04,61.486
2015-12-05,62.354
2015-12-06,63.709
2015-12-07,65.345
2015-12-08,67.0
2015-12-09,68.426
2015-12-10,69.477
2015-12-11,70.168
2015-12-12,70.591
2015-12-13,70.869
2015-12-14,71.099
2015-12-15,71.312
2015-12-16,71.496
2015-12-17,71.64
2015-12-18,71.767
2015-12-19,71.828
2015-12-20,71.747
2015-12-21,71.522
2015-12-22,71.193
2015-12-23,70.785
2015-12-24,70.374
2015-12-25,70.043
2015-12-26,69.832
2015-12-27,69.693
2015-12-28,69.463
2015-12-29,68.976
2015-12-30,68.147
2015-12-31,67.057
2016-01-01,65.947
2016-01-02,65.097
2016-01-03,64.716
2016-01-04,64.865
2016-01-05,65.408
2016-01-06,66.209
2016-01-07,67.146
2016-01-08,68.063
2016-01-09,68.873
2016-01-10,69.593
2016-01-11,70.203
2016-01-12,70.661
2016-01-13,70.937
2016-01-14,70.967
2016-01-15,70.66
2016-01-16,69.918
2016-01-17,68.755
2016-01-18,67.336
2016-01-19,65.866
2016-01-20,64.492
2016-01-21,63.332
2016-01-22,62.453
2016-01-23,61.828
2016-01-24,61.436
2016-01-25,61.344
2016-01-26,61.613
2016-01-27,62.284
2016-01-28,63.364
